src_ip_type,protocol,packet_size,connection_duration,port_number,data_transferred,label
internal,ICMP,677.5027809955307,24.622525594093332,3389,18449.727413625256,0
external,TCP,298.73545435139573,299.4956253739776,443,6354.80442575315,0
internal,TCP,614.5869673706975,154.33927818755862,80,6972.56037339287,0
internal,ICMP,3913.6530975805917,9.366363864100695,22,1332.0465390816314,0
internal,TCP,678.4912926673597,54.056477403338974,9999,4867.443899764866,0
external,ICMP,398.6160321004998,211.29429601408535,8080,10310.429336531297,0
internal,UDP,1003.4862739576596,289.5561603120832,8080,15159.465499815002,0
internal,TCP,274.62846771560294,62.99874431013923,22,2448.896655144795,0
internal,UDP,78.89530497623504,95.03941725764365,9999,1482.945760095459,0
external,ICMP,137.97521971241585,18.276238925679856,22,10877.969988329842,0
internal,UDP,137.01842406700712,472.9444686092813,80,18.816527235502043,0
internal,UDP,164.75990155667296,26.35381650176833,443,1964.6825226254532,0
internal,ICMP,149.46006606751655,286.0009331493888,8080,295.0232559065282,0
internal,UDP,1024.0840510758064,104.881305946856,80,1825.8373258486909,0
external,UDP,57365.15221394852,93.5822222872194,443,855861.4028730243,1
internal,ICMP,424.1393157948052,71.88517525924412,80,4904.897967349374,0
external,UDP,2270.9741251283576,26.223502805196265,9999,5147.117059561076,0
external,ICMP,642.3811416465936,19.422577002336727,8080,20735.586447826703,0
external,UDP,1101.2890836523804,24.908489862050676,22,7135.738160063239,0
internal,ICMP,189.12851711321647,20.633346355455018,22,12852.000891561818,0
external,ICMP,213.55098099509507,151.22407575727965,443,1099.6817900936512,0
internal,UDP,41.72721271756531,43.097564107307434,3389,2554.5854602651725,0
external,UDP,185.0473440655809,5.958300833276848,9999,12138.327238945392,0
external,UDP,326.54811863114554,347.70842165267743,443,542.4919609902582,0
external,TCP,194.81181748310794,215.23209700260003,3389,6666.954570762143,0
external,TCP,85386.06751337637,262.76545538067546,80,975714.9051809162,1
external,TCP,128.55621349335252,528.0049769049707,9999,9216.692805003726,0
external,ICMP,617.6293433653791,19.103369657618533,80,231.99858851571162,0
external,UDP,231.09220634509657,50.45818548938807,8080,3887.6730200419397,0
external,ICMP,452.9811155109185,141.98034754812707,9999,10119.502630797488,0
internal,TCP,700.0051847143304,119.07954024213375,3389,1613.4284036091844,0
internal,UDP,1172.4574340125423,16.711288479350685,8080,11888.072132092591,0
external,ICMP,40.10573010001543,169.19130029863152,22,13701.266018170509,0
external,UDP,1606.4942438261196,25.41706672405863,3389,40156.73342394719,0
external,ICMP,988.5936903672964,25.336775396964306,443,2355.223470088314,0
internal,UDP,85.29543037633427,76.9972984290837,22,17437.162563350834,0
external,TCP,2068.1346984880906,89.8794524186919,22,7345.872346201837,0
internal,TCP,2536.6935463789277,86.77058455294674,443,4675.468035457555,0
internal,UDP,63.02282756016341,9.594590297101375,9999,1305.378860112672,0
internal,ICMP,95874.29215659952,209.93248112914236,22,926892.4608523336,1
internal,TCP,1640.9351832266425,30.870149766701555,3389,2690.0111862842186,0
internal,TCP,1379.3572402143084,13.870466096940032,8080,4642.95156620106,0
external,TCP,203.9796320618005,219.59580984800334,22,645.8356417585326,0
external,UDP,234.89903118153325,311.5676352753279,3389,16162.95954233655,0
external,UDP,462.7851100243697,198.14267844749622,80,14549.52391408028,0
external,ICMP,662.6625646686144,165.81874697336124,3389,13228.15764162217,0
external,ICMP,963.001834058552,106.491250119862,8080,3558.802747603489,0
internal,ICMP,460.3125630003512,80.04147815698988,3389,1905.3125344053049,0
external,UDP,620.8911092209177,9.100489675235082,443,10148.777519532276,0
external,UDP,1376.2289403898424,52.50144999102648,8080,6855.091926235199,0
internal,ICMP,37.372952321478465,46.63120786306161,9999,1963.2206845587268,0
external,ICMP,290.9366218823972,30.077242347628445,80,11580.797567167201,0
internal,UDP,1249.4918749560259,128.52555799970685,443,47246.78288613939,0
external,ICMP,2255.7667543306134,68.49324839176536,9999,13752.341028682042,0
internal,TCP,716.7791122084009,8.451944723555854,3389,13470.212904357957,0
external,UDP,759.5295023530689,24.869626118041648,8080,30020.069770075454,0
external,ICMP,113.36133854066338,114.9670127597249,80,2268.2076344784573,0
internal,UDP,593.1432460835508,7.918484019491231,443,8336.743349544702,0
internal,TCP,760.6067990552899,190.51986230442049,9999,38945.12956724497,0
internal,UDP,277.6928032606533,68.34870443120784,9999,1806.7584488517866,0
internal,UDP,313.67461187854383,65.50551374355909,80,12048.13022025057,0
internal,UDP,73499.41340789683,89.74880765880748,3389,980313.4877565999,1
internal,UDP,20.275360750314515,174.11479129444766,80,8830.472027705562,0
internal,TCP,388.72476125613576,42.74181339452152,9999,11962.382185693576,0
internal,UDP,237.55693562362987,113.32538979228511,22,26538.024264713436,0
external,UDP,396.74923023198266,83.40933410349736,443,15259.332343845175,0
external,ICMP,127.56310328478126,31.064814560107074,80,577.7330057886936,0
internal,UDP,2212.079899943025,210.89114354403586,9999,19154.741967970847,0
external,ICMP,900.3988138795597,159.66501337527325,3389,2555.9098391349494,0
external,TCP,1136.6329578930317,107.42665693848761,9999,4730.709923759114,0
external,TCP,1556.7090323777913,190.10057185416065,3389,6194.002131264395,0
external,TCP,690.0364218488851,201.96206382205298,80,6556.702961330686,0
internal,TCP,90.93209451745585,123.22453209093109,3389,5712.488895372757,0
external,ICMP,770.2583632948225,181.40868506209324,8080,27702.441802813126,0
internal,UDP,883.9230578713735,119.55796643719839,8080,12242.401656519318,0
external,TCP,1368.2166488084092,113.9874291728865,8080,9974.211970742057,0
external,UDP,565.0346493829821,96.39364190221882,22,511.27021667353404,0
external,ICMP,97896.70605283852,139.72203916260642,80,796780.467689393,1
internal,ICMP,333.7621802617039,17.2694175461279,9999,24011.928158144925,0
external,ICMP,63735.1907523946,212.75463180521533,9999,953949.3968898098,1
internal,TCP,1038.2246116218616,205.45033221429355,22,70.54025050826498,0
external,UDP,845.7817212014196,2.9683511543022014,3389,589.8623148115015,0
internal,UDP,440.2067596518062,174.76473762753136,22,2551.8093938404163,0
external,UDP,4306.195772169813,13.796390740375564,3389,1408.1431529198198,0
internal,ICMP,930.8330084672093,40.81469825093086,3389,5088.875525460925,0
internal,TCP,270.79452875679993,136.06588031607416,443,25590.664508808695,0
external,ICMP,107.34300462488686,17.525843472956318,9999,6387.734605332093,0
internal,ICMP,165.88829258982588,170.35674221585722,8080,134.93252290406673,0
external,UDP,282.30684939514094,178.4590297012224,3389,3323.2481448903377,0
external,ICMP,175.16487495429402,70.8195305309597,443,456.19848726012793,0
external,UDP,206.4917454545804,0.6406348617415167,9999,369.6239259785021,0
external,TCP,335.60584821544654,33.83273427118551,8080,3225.770182014619,0
external,UDP,190.402433662887,95.95294943637384,3389,3224.2858608169813,0
external,TCP,2270.751449355915,397.3163467974408,3389,15470.57668396873,0
external,UDP,83.63571259200016,99.91657490890634,22,36822.87341158237,0
external,ICMP,743.4123501127027,30.083969701011704,22,4639.53319562455,0
external,ICMP,528.3055564893024,100.51375279415504,9999,5601.679783713211,0
external,TCP,4038.6421660159203,77.64970067776713,8080,18629.726083819594,0
external,TCP,118.8273456974049,151.34252301294654,3389,3121.6470122083324,0
internal,TCP,507.2579937424304,11.314701729582906,9999,1700.552616241693,0
internal,UDP,3489.0596641267152,143.14084807364827,9999,19179.325611536995,0
external,UDP,2006.2440619681547,77.92860190698894,80,476.1646898124991,0
external,TCP,1698.6630340361794,329.66212777676657,22,9667.933920516773,0
external,ICMP,298.27508353350464,41.83560899891112,8080,8255.200387545643,0
external,UDP,187.39953278648755,100.13636973450231,3389,4245.262950168055,0
external,UDP,1104.5595986817837,268.86609755685515,9999,3786.131521358152,0
external,UDP,2650.3850949599555,10.815299766527462,3389,14777.858366643724,0
external,TCP,813.6504219047422,276.8253926838768,80,903.8937866843592,0
external,TCP,847.7275614585865,116.4385883557969,8080,2702.145999810218,0
internal,TCP,328.4750308106508,7.02476502911083,9999,13184.44074329833,0
external,TCP,1467.4737584120885,35.80524164282398,3389,7947.826068228696,0
internal,TCP,207.07798214607084,123.15909951213125,22,1369.523328407144,0
external,ICMP,391.08781311923264,6.972592739476132,80,21382.205890145648,0
external,ICMP,554.1445500698305,87.26817290949637,8080,4999.645634683068,0
internal,TCP,708.4849626446985,42.446913151136116,80,17594.958350758225,0
external,UDP,277.6125835696058,96.99961904748348,22,15498.162193953856,0
internal,TCP,121.98327214413544,4.682123927795485,8080,9792.982828028527,0
external,ICMP,943.1996574293565,205.21128448769127,80,6821.699144033885,0
external,ICMP,340.5633684365418,363.0194375144341,443,38898.13491800166,0
internal,UDP,870.4530682924436,346.9835664491751,22,1566.1295986199907,0
external,ICMP,167.6647527706798,138.490265696123,22,12915.506237178302,0
internal,TCP,656.1213780285276,13.936119883380577,22,2121.921146367061,0
external,UDP,760.5472481290778,141.990573116036,443,4128.872421244458,0
internal,TCP,53.21465145712133,2.489422228251131,443,3691.7957825909275,0
internal,TCP,410.3836013804232,2.2371947734473863,3389,29381.426100025576,0
external,UDP,144.34932683193162,39.09857702172302,9999,34220.99653667242,0
external,TCP,65.47225877252488,67.068767492168,80,2021.3508789288662,0
internal,ICMP,4601.201311395324,147.14489225838568,3389,222.81560818022385,0
external,TCP,389.13002251942027,114.97857268908189,80,12729.943893076628,0
external,UDP,1660.0706137698987,59.041498739570855,9999,5412.675356450875,0
external,UDP,81797.73535818642,31.969116255840703,443,604592.7327039639,1
internal,UDP,1144.1413510203515,585.152876165698,9999,11512.352210864694,0
internal,TCP,1428.0662228282085,55.544179011003415,443,7876.898171744609,0
internal,UDP,905.4465941691398,60.03620484245429,9999,39382.03852446895,0
internal,UDP,637.8566440452718,17.86767924545557,3389,2580.0611961163772,0
internal,TCP,530.7578135053777,158.38167006373084,8080,5174.774923482576,0
internal,ICMP,429.0433017039748,118.31322380365738,3389,7820.7851598988045,0
internal,TCP,2652.5560482207807,24.944852945317596,80,15687.75875282431,0
internal,UDP,1775.6070711417979,8.59730569023787,3389,7959.302578233708,0
internal,UDP,3353.1763894156916,114.09958207372404,22,9490.726369551936,0
external,TCP,132.72854183610556,106.2795094423143,80,2563.7341257692215,0
internal,ICMP,1312.5513634605074,31.918584867373966,9999,18767.863096569574,0
external,UDP,2786.1272652612406,301.31544063851095,80,5597.192504858204,0
external,UDP,199.9558097007977,16.376428319465084,8080,1519.3935870973328,0
external,UDP,68.81031747249688,56.622347250341164,443,10912.035448297376,0
internal,TCP,72383.67127052092,287.55684327996545,9999,629770.8915880452,1
internal,UDP,854.4271441986697,54.425714269355005,80,1026.5585459696952,0
internal,ICMP,1844.0771413214777,101.75650177301027,9999,19804.06731688779,0
internal,UDP,150.5582464141926,50.682430300913964,9999,6164.86674373328,0
